2015-277,REPAIR/SERVICE OF CALIBRATION UNITS,Landtec,,,,,,
2015-278,"MISSIONARY RADIO EVANGELISM, INC. OR HIGHER GROUND HOSTING","Missionsary Radio Evangelism, Inc. (Mre)",,,,,,
2015-279,HUMATE SOURCE FERTILIZER,Dryject Of North Texas,,,,,,
2015-280,ELGIN SWEEPER PROPRIETARY PARTS,Kinloch Equipment & Supply,,,,,,
2015-281,FIRE SUPRESSION & GAS DETECTION PARTS,Jay L. Harman,,,,,,
2015-284,PENDALE 1 STREET AND DRAINAGE IMPROVEMENTS,Karlsruher Inc. Dba CSA Constructors,,,,,,
2015-285R,"ADVERTISING, PUBLIC RELATIONS, MARKETING PLANNING & PRODUCTION SERVICES ",The Laster Group Inc. Dba Culture Span Marketing,,,,,,
2015-287,ANNUAL INFLUENZA VACCINE,Smith Kline Beecham Dba Glaxo Smith Kline,,,,,,
2015-288,BUYBOARD 417-13 SAFEGUARD UNIVERSAL (4),Safeguard Universal,,,,,,
2015-289,BUYBOARD 407-12 STAPLES,Staples,,,,,,
2015-290,"REG 19 RFP 12-6838 - Maintenance, Repair and Operation Supplies & Equipment",RS Hughes Co.,,,,,,
2015-291,TERM SMARTBUY 745-A  - Soil Densification,"Uretek Usa, Inc.",,,,,,
2015-292,"REG 19 RFP 12-6838 - Maintenance, Repair and Operation Supplies & Equipment",Sherwin Williams,,,,,,
2015-293,"REG 19 RFP 13-6978 - Work Uniforms, Shoes and Related",Northern Imports Dba Work Wear Safety Shoes,,,,,,
2015-294,"REG 19 RFP 14-7063 - Automotive, Bus Parts, Tires, Supplies & Related","Alamo Industries, Inc Dba Alamo Auto Supply",,,,,,
2015-295,REGION 19-14-7031 NBS (2),NBS Inc.,,,,,,
2015-296,REGION 19 12-6789 EL PASO OFFICE PRODUCTS (3),EP Office Products,,,,,,
2015-297,"R19 BID #13-6895 AUDIO, VIDEO, SECURITY & LOW VOLTAGE EQUIPMENT, SUPPLIES & INSTALLATION","H.B. Electronics, Inc.",,,,,,
2015-298,POSI-SHELL BROWN BASE MIX,LSC Environmental Products Llc,,,,,,
2015-299,BUYBOARD 407-12 OFFCIE SUPPLIES,Staples,,,,,,
2015-300,GLO CONTRACT NO. 14-206-000-8269,Texas General Land Office,,,,,,
2015-301,BRIO ADVERTISEMENTS,El Paso Times,,,,,,
2015-302,REGION 19 12-6789 FURNITURE ,El Paso Office Products,,,,,,
2015-303,EMP COOLING KIT,Rocky Mountain Cummins,,,,,,
2015-306,INTERACTIVE DIGITAL SOLUTIONS,"Interactive Digital Solutions, Inc.",,,,,,
2015-307,TERM CONTRACT 985-L1 LEASE FOR MAIL EQUIPMENT, METERS, SCALES,Pitney Bowes,,,,
2015-308,HYDRAULIC HOSES & FITTINGS,Masthead Industries,,,,,,
2015-310,PHOTO ID CARD PRINTER SUPPLIES,ID Wholer Saler,,,,,,
2015-311,REBUILT ELECTRICAL COMPONENTS,"V1: Kirk'S Automotive, Inc. V2: The Janek Corporation",,,,,,
2015-312,BUYBOARD COOP CONTRACT #407-12 (OFFICE SUPPLIES),Staples,,,,,,
2015-313,BUYBOARD COOP CONTRACT #407-12 (OFFICE SUPPLIES),Staples,,,,,,
2015-315,PEST CONTROL - REGION 19 12-6843,Watson Extermination,,,,,,
2015-316,REGION 19 14-7040 WATSON PEST MANAGEMENT,Watson Pest Management,,,,,,
2015-317,REGION 19 12-6813 PC AUTOMATED CONTROLS INC.,PC Automated Controls Inc.,,,,,,
2015-318,"WELDING EQUIPMENT, SUPPLIES, GASES AND RELATED REGION 12-6851",Syoxsa,,,,,,
2015-327,GSA CONTRACT #GS-06F-002N,"Kone, Inc",,,,,,
2015-328,BUYBOARD 448-14 MEDICAL SUPPLIES AND EQUIPMENT,"Henry Schein, Inc.",,,,,,
2015-330,LIBRARY SECURITY GUARD SERVICES,"Ruiz Protective Service, Inc.",,,,,,
2015-333,HEAVY DUTY HYDRAULIC PARTS AND RELATED COMPONENTS,"Truck Enterprise, Inc.",,,,,,
2015-334,YUCCA PARK BASETBALL COURT,"J.A.R. Concrete, Inc. Dba Jar Construction, Inc",,,,,,
2015-335,BUS SCHEDULE PRINTING,PDX,,,,,,
2015-342,BUYBOARD COOP CONTRACT #407-12 (OFFICE SUPPLIES),Staples,,,,,,
2015-352,CLOISONNE LAPEL PINS,Scorpon Sales,,,,,,
2015-354,TRANSFER PASS FOR SUN METRO,Southland Printing,,,,,,
2015-355R,PROPERTY INSURANCE,"USI Southwest, Inc.",,,,,,
2015-356R,PREVENTATIVE CARE SERVICES ,"Tenet Hospital Limited Dba Sierra Medical Center, Providence Memorial Hospital & Sierra Providence East Medical Center",,,,,,
2015-357, REGION 19 13-6955 SOUTHWESTERN MILL,"Southwestern Mill Distributors, Inc. ",,,,,,
2015-358,MSC COMPRESSED NATURAL GAS,Mansfield Gas,,,,,,
2015-359,HEAVY LIGHT WASHING MACHINE RENTAL,"Safety-Kleen Systems, Inc.",,,,,,
2015-364,SHOP EQUIPMENT,O'Reilly Auto Parts,,,,,,
2015-365,MISC. SHOP SUPPLIES,"Wastequip Mfg.Co., Llc",,,,,,
2015-366,COMMERCIAL TREADMILL,Promaxima,,,,,,
2015-367,US Communities Contract No. 201414653-Elevator and Escalator Maintenance and Services,"Kone, Inc",,,,,,
2015-368,US Communities Contract No. 201414653-Elevator and Escalator Maintenance and Services,"Kone, Inc",,,,,,
2015-369,"Buyboard Contract #458-14-HVAC Equipment, Supplies & Install of HVAC Equipment",Trane,,,,,,
2015-370,TXMAS 11-51V020-Hardware, Fasteners,Fastenal,,,,,
2015-371,"Region 19 RFP 12-6789-Classroom, Instructional & Related",El Paso Office Products,,,,,,
2015-372,Region 19 RFP 12-6807-Facilities/Maintenance Equipment Rentals & Purchase,"Frank's Supply Company, Inc.",,,,,,
2015-373,WELDING SUPPLIES,MSC Industrial,,,,,,
2015-374,REGION 19 12-6789 EL PASO OFFICE PRODUCTS,El Paso Office Products,,,,,,
2015-375,REGION 19 13-6956 SOUTHWESTERN MILL DIST,"Southwestern Mill Distributors, Inc. ",,,,,,
2015-376,"MAINTENANCE, REPAIR, AND OPERATION SUPPLIES & EQUIPMENT AS NEEDED",El Paso Bolt And Screw,,,,,,
2015-377,OFFICE SUPPLIES FOR ALL DIRECTORS BUYBAORD 407-12,Staples,,,,,,
2015-378,EL PASO FIRE DEPARTMENT WATER RESCUE GEAR,Tom'S Dive And Swim,,,,,,
2015-379,EASTSIDE TERMINAL BUS BAY IMPROVEMENTS,Chuco Construction,,,,,,
2015-380,FIRE DEPARTMENT EMPLOYEE TCFP CERTIFICATION,Texas Commission On Fire Protection,,,,,,
2015-381,SAFETY AND SHOP SUPPLIES,Applied Industrial Technologies,,,,,,
2015-382,DEGREASER CLEANER FOR SHOPS,John Vanden Bosch Pluming Heat & Cooling,,,,,,
2015-383,WASHING MACHINE RENTAL,"Safety-Kleen Systems, Inc.",,,,,,
2015-384,DECAL REMOVAL AND INSTALLATION,Be! Graphics,,,,,,
2015-385R,PUBLIC SAFETY PSYCHOLOGICAL EXAMS,Amanecer Psychological Services,,,,,,
2015-386R,STOP LOSS INSURANCE,Aetna Life Insurance Company,,,,,,
2015-387,TEXAS DELL CONTRACTS 2014,Checkpoint Services,,,,,,
2015-388,FLUVIRIN AND PNEUMOVAX 23 PRE-FILLED SYRINGES,Moore Medical,,,,,,
2015-389,"FIRE STATION NO. 16, 23 AND 25 - NEW RESTROOMS FACILITIES","Mgb Group, Inc",,,,,,
2015-390,"ORACLE AMERICA, INC.",Oracle America,,,,,,
2015-391,BUS SCHEDULE PRINTING ,Porfirio Diaz Exit LP (Dba) Pdx Printing,,,,,,
2015-392,DELCO  & EMP PROPRIETARY ALTERNATORS,"B&C Truck Electric, Inc",,,,,,
2015-395,MEDICAL DIRECTOR'S LIABILITY INSURANCE COVERAGE FY2015,Lapre Scalo Insurance,,,,,,
2015-397,DCM SEARCH,"Ron Holifield Strategic Government Resources, Inc",,,,,,
2015-398,DELL MONITORS,Checkpoint Services,,,,,,
2015-399,MAINTENANCE AND HARDWARE SUPPLIES,HD Supplies Facilities,,,,,,
2015-400,ACOSTA SPORTS CENTER FLOORING,"Southwestern Mill Distributors, Inc. ",,,,,,
2015-401,"14"" X 48' LAMAR BILLBOARD PANEL PLACEDMENT",Lamar Outdoor,,,,,,
2015-402,ONLINE INTERACTIVE ADS,Specific Media,,,,,,
2015-403,ANNUAL SERVICE CONTRACT RENEWAL,Money Systems Technology Inc.,,,,,,
2015-404,Region 19 RFP 12-6807-Facilities/Maintenance Equipment Rentals & Purchase,"Frank's Supply Company, Inc.",,,,,,
2015-405,"TXSMARTBUY 550-A2- TRAFFIC CONTROL DEVICES, MARKERS, DELINEATORS",Athen'S Technical ,,,,,,
2015-409,UMC TITER VACCINES ,University Medical Center Of El Paso,,,,,,
2015-410,UMC VARICELA VACCINE,University Medical Center Of El Paso,,,,,,
2015-411,SECURITY GUARD SERVICES-LANDFILLS,"Ruiz Protective Service, Inc.",,,,,,
2015-412,BACKFLOW PREVENTERS INSPECTION SERVICES (RE-BID),"EP Integrated Fire Systems And Concepts, Llc",,,,,,
2015-414,"REGION 19 12-6814 FRAMING, DRY WALL, PAINTING & RELATED ","Pride General Contractors, LLC",,,,,,
2015-415,SOFTWARE LICENSE RENEWAL FEES,Fleet-Net Corp,,,,,,
2015-416,SEAMATE WATER SOLUABLE,CMC Agronomy,,,,,,
2015-417,"TROPHIES, MEDALS, RIBBONS",Meza Trophies,,,,,,
2015-418,SOUTHWESTERN MILL,"Southwestern Mill Distributors, Inc. ",,,,,,
2015-419,BSN SPORTS EQUIPMENT,Bsn Sports Equipment,,,,,,
2015-422,REMANUFACTURED ALTERNATORS FOR EVALATION,Turob & Electric,,,,,,
2015-423,BUS SHELTER MAINTENANCE,Mirador Enterprises,,,,,,
2015-426,PATRIOT PLACE IMPROVEMENTS,"Black Stallion Contractors, Inc",,,,,,
2015-427,GFI SPARE TVM'S,SPX Genfare,,,,,,
2015-429,REGION 19 13-6894 - GENERAL AUTOMOTIVE REPAIR,"Wingfoot Commercial Tire Systems, LLC",,,,,,
2015-430,COOLING TOWER CHEMICALS,"Alpha Labs, Inc.",,,,,,
2015-431,EMERGENCY WATER EXTRACTION,"Steam Genie, Inc.",,,,,,
2015-432,HVAC EQUIPMENT SUPPLIES,PC Automated Controls Inc.,,,,,,
2015-433,STREET RESURFACING 2015,"ZTEX Construction, Inc.",,,,,,
2015-434,HOLIDAY LIGHTING DECORATIONS,Arnett Marketing,,,,,,
2015-435,FIRE STATION 15 INTERIOR PAINTING/CABINETRY,"Perikin Enterprises, LLC",,,,,,
2015-439,DIR-TSO-2520 TOUGHBOOK MODEL CF-532ULZYCM,CDW Government,,,,,,
2015-440,RTC-MOTOROLA SOLUTIONS - DIR 2203,"Motorola Solutions, Inc.",,,,,,
2015-441,ELECTRICAL SUPPLIES,Gorman Batteries Dba Batteries Plus Bulbs #442,,,,,,
2015-442,DIR-SDD-2203-TECHNOLOGY,"Motorola Solutions, Inc.",,,,,,
2015-443,U.S. COMMUNITIES 31172 - EQUIPMENT RENTAL SERVICE,Hertz Corportation,,,,,,
2015-444,"TRUCK, SMALL SUVs AND VANS","V1: Dick Poe Dodge Lp; V2: Rudolph Chevrolet, Llc",,,,,,
2015-446,"DELL VENUE II PRO TABLETS / DELL DIR #TOF82ABO, DIR SSD-1951",Checkpoint Services,,,,,,
2015-447,VIEWCAST OSPREY CARDS,CDW Government,,,,,,
2015-448,POSITIVE PROMOTIONS,Positive Promotions,,,,,,
2015-449,SECURITY MONITORING WIC,SD Technologies,,,,,,
2015-450,"Cisco Systems, Inc.","Sigma Technology Solutions, Inc.",,,,,,
2015-451,SUIT ENHANCED MOBILITY OLIVE DRAB,"Med-Eng, LLC",,,,,,
2015-452,SPECTRUM PAPER COMPANY BAGS/LINERS,Spectrum Paper Company,,,,,,
2015-453,"AWARDS, TROPHIES, PLAQUES",Del Anthony Anzaldua,,,,,,
2015-454,FABRIC FOR SEAT INSERTS,Bus Tex Crop.,,,,,,
2015-455,BUYBOARD 432-13 - PUBLIC SAFETY & FIRE HOUSE SUPPLIES & EQUIPMENT,"Casco Industries, Inc.",,,,,,
2015-456,MRO SUPPLIES - GRAINGER,Grainger,,,,,,
2015-458,"AUTO, BUS PARTS/TIRES, SUPPLIES",Texstar Professional Services,,,,,,
2015-459,MATERIALS AND SUPPLIES,Swifco,,,,,,
2015-460,POSITIVE PROMOTIONS 4,Positive Promotions,,,,,,
2015-461,POSITIVE PROMOTIONS 3,Positive Promotions,,,,,,
2015-463,TDAP ADACEL ADULT TYPHOID VACCINES,Sanofi Pasteur ,,,,,,
2015-464,BARNES AND NOBLE,Positive Promotions,,,,,,
2015-465,SKILLED LABOR SERVICES,"Pride General Contractors, LLC",,,,,,
2015-468,DENTAL SUPPLIES,"V1: Allison Dental
V2: Avco Enterprises Dba Dent Serv
V3: Henry Schein Inc.
V4: Mri Enterprises Aka; The Mri Company",,,,,,
2015-471,PROPPER BA SHELL JACKET WITH EMBROIDERY,Premier Uniforms & Tactical Gear,,,,,,
2015-472,US COMMUNITIES CONTRACT #11019RFP-INDUSTRIAL SUPPLIES,Applied Industrial Technologies,,,,,,
2015-473,"REGION 19 RFP 13-6978-WORK UNIFORMS, SHOES AND RELATED ",Premier Uniforms & Tactical Gear,,,,,,
2015-474,REGION 19 RFP 12-6840-HAZARDOUS WASTE COLLECTION & DISPOSAL ,"Advanced Chemical Transport, Inc.",,,,,,
2015-475,"REGION 19 RFP 13-6978-WORK UNIFORMS, SHOES AND RELATED ",Bazaar Uniforms,,,,,,
2015-476,REGION 19 RFP 13-6901-NATIONAL JOB CONTRACTING SERVICES,Basic IDIQ,,,,,,
2015-477,MOTOR POOL,Rudolph Chevrolet,,,,,,
2015-478,ENGINERED WOOD FIBER FOR PLAYGROUNDS,Kraftsman,,,,,,
2015-479,CITYWIDE ELEVATOR MAINTENANCE AND REPAIR,"Kone, Inc.",,,,,,
2015-480,"SPORTING GOODS, ATHLETIC EQUIPMENT AND ATHLETIC FACILITY EQUIPMENT",Common Cents Ems Supply Inc.,,,,,,
2015-481,ENVIRONMENTAL DISPOSAL / SAND TRAPS AT MSC SITES,"Safety-Kleen Systems, Inc.",,,,,,
2015-482,IRVING SCHWARTZ BRANCH LIBRARY  IMPROVEMENTS,"Vonanza Construction, Llc",,,,,,
2015-483,SERVICE UNITS 02024/07339/97240,Altec Industries,,,,,,
2015-484,BUILDING EQUIPMENT SUPPLIES,KD Scholten Co,,,,,,
2015-485,DELL LATITUDE E3440 LAPTOPS,Dell Marketing LP,,,,,,
2015-486,TCPN R 4954 - BUILDING MAINTENANCE SUPPLIES,Lowe's Home Center,,,,,,
2015-487,US COMMUNITIES 11019-RFP - LANDSCAPING SUPPLIES,The Home Depot,,,,,,
2015-488,SECURE ROOM 9 PANEL ENCLOSURE,The Hon Company,,,,,,
2015-489,REGION 19 CONTRACT #14-7043 TO REPLACE TWO EST NETWORK CARDS,Matrix Special Systems,,,,,,
2015-490,COMPUTER EQUIPMENT,Checkpoint Services,,,,,,
2015-491,SECURITY MONITORING,SD Technologies,,,,,,
2015-492,PCS MOBILE - GETAC,PCS Mobile,,,,,,
2015-493,INK CARTRIDGEST AND SERVICE DIR SDD 2166,Leser Tech,,,,,,
2015-494,MRO SUPPLIES - LOWE'S ,Lowe's Home Center,,,,,,
2015-495,2015 AUTOCAR ACX64 CNG AND DIESEL ENGINES FOR AUTOMATED SIDE LOADERS,Chastang Enterprises Dba Chastang Ford,,,,,,
2015-496,2015 31 YARD McNEILUS AUTOMATED SIDE LOADER REFUSE BODIES,Mcneilus Truck & Manufacturing,,,,,,
2015-497,RUNWAY SWEEPER,"Schwarze Industries, Inc.",,,,,,
2015-498,LIGHT DUTY TRUCKS,"Silbee Ford, Inc",,,,,,
2015-500,VOIP TELEPHONY AND NETWORK INFRASTRUCTURE,"Sigma Technology Solutions, Inc.",,,,,,
2015-502,"PARTS, TOOLS AND SUPPLIES",Grainger,,,,,,
2015-504,TXSMARTBUY 550-A2,Paradigm Traffic Systems,,,,,,
2015-505,TXSMARTBUY 550-A2,"Iteris, Inc.",,,,,,
2015-506,"REGION 19 RFP 12-6838 - MAINTENANCE, REPAIR AND OPERATION SUPPLIES & EQUIPMENT",Border Construction Specialties,,,,,,
2015-507,REGION 19 RFP 14-7032 - EMERGENCY VEHICLE EQUIPMENT & RELATED,Aspen Ii Distributing,,,,,,
2015-508,SECURITY GUARD SERVICES (RE-BID),"Blackstone Security Services ,Inc",,,,,,
2015-509,SALT CRYSTALS WATER SOFTENER,Lowe's Home Center,,,,,,
2015-510,WATER TREATMENT SERVICES TO TREATMENT SERVICES FOR BOILER AND COOLING TOWERS,Garret Callahan,,,,,,
2015-513,DODGE CHRYSLET PARTS SERVICE,Dick Poe Dodge ,,,,,,
2015-514,UPHOLSTERY REPAIRS AND SERVICES,S&S Upholstery,,,,,,
2015-515,PROMOTIONAL SUPPLIES,Positive Promotions,,,,,,
2015-516,COMPUTERS,Checkpoint Services,,,,,,
2015-517,"REGION 19 RFP 14-6994 - TECHNOLOGY SOFTWARE, SERVICES AND RELATED ITEMS",Checkpoint Services,,,,,,
2015-518,SHOP SUPPLIES,Grainger,,,,,,
2015-519,ZONAR VEHICLE TRACKING UNITS & SERVICE PACKAGE ANNUAL MAINTENANCE,"Zonar Systems, Inc.",,,,,,
2015-520,EMS TESTING PARAMEDIC TESTING & DIGITAL LIBRARY,Pearson Education,,,,,,
2015-521,OCCUNOMIX GEAR BAG,Cintas First Aid & Safety,,,,,,
2015-522,PAVING OF UNPAVED RIGHTS-OF-WAY 2015,"ZTEX Construction, Inc.",,,,,,
2015-523,PIERCE FIRE TRUCK PARTS & SERVICE,Siddons Martin Emergency Group,,,,,,
2015-524,PROFESSIONAL SERVICES CONTRACT,Johnson Controls Inc.,,,,,,
2015-525,PERFORMANCE CONTRACT PHASE II,Johnson Controls Inc.,,,,,,
2015-526,CONSULTING SERVICES,Johnson Controls Inc.,,,,,,
2015-527,PHASE IV M&V YEAR 3,Johnson Controls Inc.,,,,,,
2015-528,DELL OPTIPLEX 9020MT WITH WARRANTY UPGRADE,Checkpoint Services,,,,,,
2015-529,TCPN R5106 TECHNOLOGY SOLUTIONS UNIVERSAL NOTEPAD SUPPORT AND CRADLE,CDW Government,,,,,,
2015-530,ANNUAL SOFTWARE SUPPORT FOR FLAGSHIP,"Flagship Fleet Management, Llc",,,,,,
2015-531,Computers,Checkpoint Services,,,,,,
2015-532,WASHER-EXTRACTOR AND APPLIANCE REPAIR SERVICES,All Appliance Repair,,,,,,
2015-533,PERSONAL PROTECTIVE EQUIPMENT CLOTHING (PPE) REPAIR,"Lion Totalcare, Inc.",,,,,,
2015-534,TRAFFIC SIGNAL ALUMINUM VISORS,Nelok Inc. Dba Traffic Parts Inc.,,,,,,
2015-535,"SUTTECH, INC.","Suttech, Inc.",,,,,,
2015-536,Curb Ramps & Sidewalk Gap program- District No.2,"Allied Paving Co, Of El Paso, Inc",,,,,,
2015-537,Newman Park Improvements,"Black Stallion Contractors, Inc",,,,,,
2015-538,FITNESS EQUIPMENT PREVENTATIVE MAINTENANCE & REPAIR SERVICES,Diverse Mobile Technologies Llc,,,,,,
2015-539,LAB SUPPLIES,"V1 - Fisher Scientifice Llc
V2 - Mri Enterprises Aka; The Mri Company",,,,,,
2015-540,GT DISTRIBUTORS - BODY ARMOR,GT Distributors,,,,,,
2015-541,Sunrise Park Improvements,"Black Stallion Contractors, Inc",,,,,,
2015-542,PEST CONTROL - ZOO,"Orkin, Inc.",,,,,,
2015-543,MUTT MUTT DOGGIE BAGS AND DISPENSERS,Wildflower Meadows Llc,,,,,,
2015-544,"AUTOMOTIVE, BUS PARTS, TIRES, SUPPLIES & RELATED",Bill Williams Tire,,,,,,
2015-545,PURCHASE PARTS AND REPAIR OF DESTINATION SIGNS,Luminator,,,,,,
2015-547,"PROPRIETARY PARTS-DOOSAN, VOLVO, CHAMPION","Sierra Machinery, Inc.",,,,,,
2015-549,TAX COLLECTION SERVICES,Miracle Delivery Inc.,,,,,,
2015-551,ANIMAL TRANSPORT VEHICLES,Southwest Truck Sales,,,,,,
2015-552,PRINTING SERVICES / SUPPLIES,Universal Graphics,,,,,,
2015-553,BRIDGEPORT PROPRIETARY PARTS,"Bridgeport Truck Mfg, Inc.",,,,,,
2015-554,"Region 19 RFP 14-7063 - Automotive Bus Parts, Tires, Supplies & Related",Uni Select Usa,,,,,,
2015-555,"Region 19 RFP 14-6994 - Technology Software, Services and Related Items",Checkpoint Services,,,,,,
2015-556,DIR-TSO 2520 - Technology,CDW Government,,,,,,
2015-557,AMREP PROPRIETARY REFUSE PARTS,Amrep,,,,,,
2015-558,FLEETFOCUS SOFTWARE,Asset Works LLC,,,,,,
2015-559,ELEVATOR OIL SPILL CLEANUP,D&H Petroleum & Environmental Services,,,,,,
2015-560,"HVAC EQUIPMENT, PARTS AND SERVICE","Wyler Industrial Works, Inc.",,,,,,
2015-562,COMPUTERS,Checkpoint Services,,,,,,
2015-563,"DIR-SDD-2203 EMERGENCY PREPAREDNESS HARDWARE, SOFTWARE AND RELATED SERVICES","Motorola Solutions, Inc.",,,,,,
2015-564,HOWELL BUSINESS INTERIORS,Solar Winds,,,,,,
2015-565,BUS AXLE END COMPONENTS,"V1: Axletech International Holdings, Inc.
V2: Vehicle Maintenance Program, Inc.
V3: Mohawk Mfg & Supply Co.
V4: Muncie Reclamation And Supply Dba Muncie Transit Supply
V5: New Flyer Industries Canada, Llc.
V6: Gvmi, Inc.",,,,,,
2015-566,"REGION 19 RFP 13-6378 - WORK UNIFORMS, SHOES AND RELATED+A12",Northern Imports Dba Work Wear Safety Shoes,,,,,,
2015-567,Service Agreement for EIS Units,Worldwide Environmental Products,,,,,,
2015-568,BUS FRICTION MATERIAL,"V1: Rush Truck Centers Of Texas Lp Dba Rush Truck Center El Paso V2: Gvmi, Inc., V3: Muncie Reclamation And Supply Dba Muncie Transit Supply",,,,,,
2015-570,ACCESS CONTROL - ASC,Advance Security,,,,,,
2015-571,LAWN SERVICES - CITY WIDE ,Evergreen Lawn Service,,,,,,
2015-574,RADIOS & PRINTERS,Brazos Technology,,,,,,
2015-575,TXMAS-11-51V050 - CONSTRUCTION SUPPLES,Border Construction Specialties,,,,,,
2015-576,SECURITY GUARD SERVICES FOR INTERNATIONAL BRIDGES,"Ruiz Protective Service, Inc.",,,,,,
2015-577,Fire Inspection & Code Enforcement Reference Manual,Emergency Training Associates,,,,,,
2015-581,SIGMA TECHNOLOGY SOLUTIONS,"Sigma Technology Solutions, Inc.",,,,,,
2015-582,MOTOROLA,"Motorola Solutions, Inc.",,,,,,
2015-583,SHI GOVERNMENT SOLUTIONS,Shi Government Solutions Inc.,,,,,,
2015-584,NBS INC,NBS Inc.,,,,,,
2015-585,HON COMPANY,The Hon Company,,,,,,
2015-586,Traffic Signal Components,General Traffic Equipment Corp.,,,,,,
2015-587,HEAVY DUTY VEHICLE BODY AND PAINTING,"RJ Border International, LP Dba Border International",,,,,,
2015-590,TRUCK WITH DUMP BODY,Southwest Truck Sales,,,,,,
2015-591,ARTICULATING HITCH,Epic Manufacturing,,,,,,
2015-592,RTS MOCK STATION RELOCATION,LB Landscaping Dba Lb & Sons,,,,,,
2015-593,RENEWAL OF GARAGE LIABILITY,"USI Southwest, Inc.",,,,,,
2015-594,CURB RAMPS AND SIDEWALK GAP PROGRAM - DISTRICT NO. 4,"Vertex Contractors, Llc",,,,,,
2015-595,CORONADO CURB CUTS IMPROVEMENTS,"Black Stallion Contractors, Inc",,,,,,
2015-596,"TECHNOLOGY EQUIPMENT, SOFTWARE, SUPPLIES",Shi Government Solutions Inc.,,,,,,
2015-597,3 TECHONOLGY SOLUTIONS,CDW Government,,,,,,
2015-598,LEXIS NEXIS - TEXAS LITIGATION GUIDE,"Matthew Bender & Company, Inc. Dba Lexis Nexis",,,,,,
2015-599,ARMORED CAR SERVICES,Soto Enterprises Dba Miracle Delivery Armored Services,,,,,,
2015-600,CHECKPOINT I,Checkpoint Services,,,,,,
2015-601A,CHECKPOINT II,Checkpoint Services,,,,,,
2015-602,HOIST/GRAPPLE TRUCK COMBO,"V1: Chastang Enterprises Dba Chastang Ford
V2: Texan Waste Equipment, Inc. Dba Heil Of Texas",,,,,,
2015-603,EDUCATIONAL AND TRAINING LITERATURE ,Firefighters Bookstore,,,,,,
2015-604,CNG FUEL DISPENSERS AT MSC PHASE II,"D & H Pump Service, Inc",,,,,,
2015-605,MICROSOFT ENTERPRISE,Shi Government Solutions Inc.,,,,,,
2015-606,HEWLETT PACKARD 3,Hewlett-Packard,,,,,,
2015-607,SYNERGY PROJECT ROOF REPAIRS,Synergy Project Consultans,,,,,,
2015-608,IMMUNIZATION SERVICES,Pro-Action,,,,,,
2015-609,"SPOK, INC","Spok, Inc.",,,,,,
2015-610,Office/Reception Area Furniture,El Paso Office Furniture,,,,,,
2015-611,"PC AUTOMATED CONTROLS, INC.",PC Automated Controls Inc.,,,,,,
2015-612,AnMar ENTERPRISES dba AIRPORT PRINTING SERVICE,Anmar Enterprises Dba Airport Printing Service,,,,,,
2015-613,SUMMIT FILLMORE PARK IMPROVEMENTS,"Prime Irrigation & Landscape, Inc.",,,,,,
2015-614,GALLAGHER SIDEWALK  IMPROVEMENTS,Chuco Construction,,,,,,
2015-615,JOHNSON BASIN PARK IMPROVEMENTS,"Black Stallion Contractors, Inc.",,,,,,
2015-616,BUS WINDSHIELDS & GLASS REPLACEMENTS (RE-BID),"V1: Southwest Auto Glass, Inc.
V2: New Flyer Industries Canada, Llc.
V3: Nabi Parts, Llc",,,,,,
2015-618,2015 COOP EXPO FACILITY CHARGES,SMG Entertainment Llc,,,,,,
2015-619,INDIANA FURNITURE,Business Interiors,,,,,,
2015-620,KUSTOM SIGNAL,"Alamo Industries, Inc Dba Alamo Auto Supply",,,,,,
2015-621,MICROSOFT ,Microsoft,,,,,,
2015-622,AnMAR PRINTING dba AIRPORT PRINTING,Anmar Enterprises Dba Airport Printing Service,,,,,,
2015-624,Engineered Wood Fiber for Playgrounds,The Playwell Group,,,,,,
2015-625,DIR-SDD-2237 - Technology,Teleste LLC,,,,,,
2015-626,DIR-SDD-1951 Technology,Checkpoint Services,,,,,,
2015-627,MegaTrak Hardware & Software Maintenance - SS,Megatronics International Corp,,,,,,
2015-628,Air & Fluid Filter Elements,"V1: Muncie Reclamation And Supply Dba Muncie Transit Supply
V2: Vehicle Maintenance Program, Inc.
V3: Gvmi, Inc.",,,,,,
2015-629,EL PASO REPROGRAPHICS LLC,"El Paso Reprographics, LLC",,,,,,
2015-630,AnMAR PRINTING dba AIRPORT PRINTING II,Anmar Enterprises Dba Airport Printing Service,,,,,,
2015-632,Repair Service - Replace/Rebuild Engine,Crawford Collision Center,,,,,,
2015-633R,HOTEL OCCUPANCY TAX REVIEW,"Muniservices, Llc",,,,,,
2015-635R,San Jacinto Café,Ruben Holguin Cuellar Dba Rent A Chef,,,,,,
2015-636,"BUS COMPONENTS - 
NATIONAL BUS SALES & LEASING - Sole Source",National Bus Sales & Leasing,,,,,,
2015-638,"MSC Digital Signage, dba AVX","D.W. Collins, Dba, Avx",,,,,,
2015-640,Fire Department Training and Equipment ,Arizona Hiking Shack,,,,,,
2015-641,Waterproof Hiking Boot - ASOLO M2066,Working Person's Store,,,,,,
2015-642,Scorpion –FY 15 Uniforms for Aquatics,Scorpion-Uniforms For Aquatics,,,,,,
2015-643,BuyBoard #432-13 Scott Parts,Dooley Tackaberry,,,,,,
2015-644,Checkpoint-PCP14HLTH,Checkpoint Services,,,,,,
2015-645,TCPN R4942 - Office Supplies and Services,Gonzalez Office,,,,,,
